client_id,raw_metric,canonical_metric,is_conversion,is_monetary
northwind_marketplace,order_complete,purchase,true,true
northwind_marketplace,signup,signup,true,false
northwind_marketplace,page_view,pageview,false,false
northwind_marketplace,cart_add,add_to_cart,false,false
northwind_marketplace,search,search,false,false
northwind_marketplace,refund,refund,false,true
drift_labs,plan_upgrade,upgrade,true,true
drift_labs,trial_signup,signup,true,false
drift_labs,docs_view,pageview,false,false
drift_labs,api_ping,engagement,false,false
drift_labs,refund,refund,false,true
granite_gaming,iap_purchase,purchase,true,true
granite_gaming,level_up,engagement,false,false
granite_gaming,session_start,session_start,false,false
granite_gaming,ad_view,pageview,false,false
granite_gaming,refund,refund,false,true
helios_media,checkout,purchase,true,true
helios_media,subscribe,signup,true,false
helios_media,play_start,engagement,false,false
helios_media,browse,pageview,false,false
helios_media,refund,refund,false,true
ember_commerce,order_complete,purchase,true,true
ember_commerce,newsletter_signup,signup,true,false
ember_commerce,pdp_view,pageview,false,false
ember_commerce,cart_add,add_to_cart,false,false
ember_commerce,refund,refund,false,true
meridian_wellness,membership_purchase,purchase,true,true
meridian_wellness,trial_start,signup,true,false
meridian_wellness,workout_logged,engagement,false,false
meridian_wellness,app_open,session_start,false,false
quanta_fitness,iap_purchase,purchase,true,true
quanta_fitness,premium_upgrade,upgrade,true,true
quanta_fitness,workout_sync,engagement,false,false
quanta_fitness,app_open,session_start,false,false
quanta_fitness,refund,refund,false,true
halcyon_bank,funding_deposit,purchase,true,true
halcyon_bank,account_open,signup,true,false
halcyon_bank,statement_view,pageview,false,false
halcyon_bank,login,session_start,false,false
halcyon_bank,refund,refund,false,true
fjord_travel,booking,booking,true,true
fjord_travel,search,search,false,false
fjord_travel,pageview,pageview,false,false
fjord_travel,refund,refund,false,true
