client_id,wire_key,canonical_key
granite_gaming,GG-EXP-001,starter_pack_price
granite_gaming,GG-EXP-002,daily_reward_track
granite_gaming,GG-EXP-003,battle_pass_promo
granite_gaming,GG-EXP-004,tutorial_skip_opt
granite_gaming,GG-EXP-005,shop_layout_grid
granite_gaming,GG-EXP-006,gacha_pity_meter
granite_gaming,GG-EXP-007,season_end_event
granite_gaming,GG-EXP-008,push_reengage_copy
granite_gaming,GG-EXP-009,ad_frequency_cap
granite_gaming,GG-EXP-010,clan_invite_flow
granite_gaming,GG-EXP-011,hard_currency_sale
granite_gaming,GG-EXP-012,level_gate_soften
